id,severity,status,error_type,reachability,invariant,location_screen,location_system,location_scene,location_file,location_line,summary,game_context,repro_seed,repro_step,repro_probe,occurrences,known_ref
ADV-0004,blocking,new,state_invariant_violation,player,INV-SAVE-ROUNDTRIP-STABLE,F1,save,CollectScene,phaser/src/world/save/SaveCoordinator.ts,,"save, reload, load returned a different world: block evening -> morning · screen T6 -> F1 · satchel [""herbs"",""adv_item_572307""] -> [] · cleared gates [""G-T6-evening""] -> []. ""Save and restore (close, reopen, resume)"" is item one of the amended Definition of Done.","{""day"":1,""timeBlock"":""morning"",""movesLeft"":2,""screen"":""F1"",""drawnScreen"":""F1"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at trail signs]"",""[Go to The Stream]"",""[Go to The Grove]"",""[Go to Town Square]"",""[Wait]"",""[End the day]""],""drift"":[""block evening -> morning"",""screen T6 -> F1"",""satchel [\""herbs\"",\""adv_item_572307\""] -> []"",""cleared gates [\""G-T6-evening\""] -> []""],""before"":{""day"":1,""screen"":""T6"",""satchel"":[""herbs"",""adv_item_572307""]}}",20260824,11,save,1,
ADV-0005,blocking,known,resource_duplication,player,INV-INV-DROP-REMOVES,T4,satchel,CollectScene,phaser/src/world/Inventory.ts,,"drop(""item_berry"") returned true but the item is still held (1 -> 1). It is ALSO in the world on T4 — one item now exists twice.","{""day"":1,""timeBlock"":""evening"",""movesLeft"":1,""screen"":""T4"",""drawnScreen"":""T4"",""satchel"":[""herbs"",""adv_item_1997"",""herbs"",""ash""],""arms"":[],""held"":[""item_ash"",""item_berry"",""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at tools]"",""[Look at recipe board]"",""[Go to Market Row]"",""[Wait]"",""[End the day]""],""item"":""item_berry"",""heldBefore"":1,""heldAfter"":1,""inWorld"":true,""stillInSatchel"":0}",20260824,25,inventory,1,"plans/2026-08-23-roc-notes-triage-plan.md — Group 1, 'Drop doesn't remove item'"
ADV-0011,blocking,new,uncaught_exception,player,INV-SOAK-NO-UNCAUGHT,,flow,,phaser/src/scenes/CollectScene.ts,,after mashing [d h f f l n h c o f Delete s s d] the play scene is no longer running — live scenes are []. Four Escapes did not get back.,"{""day"":null,""timeBlock"":null,""movesLeft"":null,""screen"":null,""drawnScreen"":null,""satchel"":null,""arms"":null,""held"":null,""spellbook"":null,""clearedGates"":null,""refusedGates"":null,""modalOpen"":null,""choices"":[],""keys"":[""d"",""h"",""f"",""f"",""l"",""n"",""h"",""c"",""o"",""f"",""Delete"",""s"",""s"",""d""],""liveScenes"":[]}",20260824,67,soak,1,
ADV-0015,blocking,known,resource_duplication,player,INV-INV-DROP-REMOVES,T2,satchel,CollectScene,phaser/src/world/Inventory.ts,,"drop(""item_berry"") returned true but the item is still held (1 -> 1). It is ALSO in the world on T2 — one item now exists twice.","{""day"":4,""timeBlock"":""afternoon"",""movesLeft"":1,""screen"":""T2"",""drawnScreen"":""T2"",""satchel"":[""herbs"",""ash"",""wool"",""adv_item_900036"",""adv_item_869044""],""arms"":[],""held"":[""item_berry"",""item_captured_sound"",""item_wool""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Talk to Mara (SC-T2-12)]"",""[Talk to Mara (SC-T2-22)]"",""[Look at stall goods]"",""[Look at ex shelf]"",""[Go to Town Square]"",""[Go to The Workshop]"",""[Wait]"",""[End the day]""],""item"":""item_berry"",""heldBefore"":1,""heldAfter"":1,""inWorld"":true,""stillInSatchel"":0}",20260824,76,inventory,1,"plans/2026-08-23-roc-notes-triage-plan.md — Group 1, 'Drop doesn't remove item'"
ADV-0020,blocking,new,state_invariant_violation,player,INV-CLOCK-DAY-MONOTONIC,T1,day-loop,CollectScene,,,day went 5 -> 1 with no restore in flight.,"{""day"":1,""timeBlock"":""morning"",""movesLeft"":2,""screen"":""T1"",""drawnScreen"":""T1"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at arch]"",""[Look at notice board]"",""[Go to Forager's Clearing]"",""[Go to Market Row]"",""[Go to The Commons / Well]"",""[Go to The Tavern / Inn]"",""[Go to Festival Grounds]"",""[Wait]"",""[End the day]""]}",20260824,120,explore,2,
ADV-0024,blocking,new,gate_bypass,player,INV-GATE-STANDING-SOMEWHERE-LOCKED,T5,traversal,CollectScene,phaser/src/render/TraversalRow.ts,,"standing on T5 with gate(s) G-T5-trust still blocking it, and none of them was ever cleared this session or bypassed by this agent. The mode declares gates enforced; something let the player through.","{""day"":3,""timeBlock"":""afternoon"",""movesLeft"":1,""screen"":""T5"",""drawnScreen"":""T5"",""satchel"":[],""arms"":[],""held"":[""item_captured_sound"",""item_spring_water""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at mementos]"",""[Go to The Commons / Well]"",""[Wait]"",""[End the day]""],""required"":[""G-T5-trust""],""cleared"":[],""everCleared"":[""G-T6-evening""]}",20260824,150,explore,1,
ADV-0025,blocking,new,uncaught_exception,player,INV-SOAK-NO-UNCAUGHT,,flow,HubScene,phaser/src/scenes/CollectScene.ts,,after mashing [m d h m s d h n Escape m Escape e f c] the play scene is no longer running — live scenes are [HubScene]. Four Escapes did not get back.,"{""day"":null,""timeBlock"":null,""movesLeft"":null,""screen"":null,""drawnScreen"":null,""satchel"":null,""arms"":null,""held"":null,""spellbook"":null,""clearedGates"":null,""refusedGates"":null,""modalOpen"":null,""choices"":[],""keys"":[""m"",""d"",""h"",""m"",""s"",""d"",""h"",""n"",""Escape"",""m"",""Escape"",""e"",""f"",""c""],""liveScenes"":[""HubScene""]}",20260824,152,soak,1,
ADV-0026,blocking,new,resource_duplication,model-only,INV-CAST-CONSUMED-ONCE,T2,cast,CollectScene,phaser/src/world/Inventory.ts,,"""item_berry"" was consumed by the first cast of ""steep"" (held 1 -> 0) and the second cast landed anyway without spending anything (still 0). One component paid for two casts.","{""day"":3,""timeBlock"":""evening"",""movesLeft"":1,""screen"":""T2"",""drawnScreen"":""T2"",""satchel"":[""herbs""],""arms"":[],""held"":[""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at stall goods]"",""[Look at ex shelf]"",""[Go to Town Square]"",""[Go to The Workshop]"",""[Wait]"",""[End the day]""],""spell"":""steep"",""receiver"":""juno"",""component"":""item_berry"",""before"":1,""afterFirst"":0,""afterSecond"":0}",20260824,156,cast,1,
ADV-0030,blocking,known,resource_duplication,player,INV-INV-DROP-REMOVES,T1,satchel,CollectScene,phaser/src/world/Inventory.ts,,"drop(""item_sticks"") returned true but the item is still held (1 -> 1). It is ALSO in the world on T1 — one item now exists twice.","{""day"":5,""timeBlock"":""evening"",""movesLeft"":3,""screen"":""T1"",""drawnScreen"":""T1"",""satchel"":[""sticks"",""rare component""],""arms"":[],""held"":[""item_sticks""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[""G-T6-evening""],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at arch]"",""[Look at notice board]"",""[Go to Forager's Clearing]"",""[Go to Market Row]"",""[Go to The Commons / Well]"",""[Go to The Tavern / Inn]"",""[Go to Festival Grounds]"",""[Wait]"",""[End the day]""],""item"":""item_sticks"",""heldBefore"":1,""heldAfter"":1,""inWorld"":true,""stillInSatchel"":0}",20260824,192,inventory,1,"plans/2026-08-23-roc-notes-triage-plan.md — Group 1, 'Drop doesn't remove item'"
ADV-0001,material,new,contract_violation,model-only,INV-INV-UNOFFERED-PICKUP-REFUSED,T1,forage,CollectScene,tools/lantern/src/lib/play.ts,,"pickup accepted slot ""adv_slot_432556"", which no screen in the graph offers. The satchel went 1 -> 2.","{""day"":1,""timeBlock"":""afternoon"",""movesLeft"":1,""screen"":""T1"",""drawnScreen"":""T1"",""satchel"":[""herbs"",""adv_item_572307""],""arms"":[],""held"":[""item_berry"",""item_captured_sound""],""spellbook"":[""echo"",""fetch"",""glimmer""],""clearedGates"":[],""refusedGates"":[""G-F4-still""],""modalOpen"":false,""choices"":[""[Look at arch]"",""[Look at notice board]"",""[Go to Forager's Clearing]"",""[Go to Market Row]"",""[Go to The Commons / Well]"",""[Go to The Tavern / Inn]"",""[Go to Festival Grounds]"",""[Wait]"",""[End the day]""],""slot"":""adv_slot_432556"",""accepted"":true}",20260824,8,inventory,3,
